Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
RIBSTONE SOUTH AGCM,ALBERTA,3015480,46812,71089,PRS,52.59,-110.34,523513003,-1102034005,644,2007,2021,2008,2021,2007,2021,2007,2007
RIVERCOURSE AGCM,ALBERTA,3015501,46132,71102,PRA,53.02,-110.1,530108003,-1100607003,669,2007,2021,2007,2021,2007,2021,2007,2007
ROCKY MTN HOUSE (AUT),ALBERTA,3015523,8712,71928,WRM,52.42,-114.91,522517006,-1145444003,988.2,1992,2021,1994,2021,1992,2021,1996,2007
ROSALIND AGCM,ALBERTA,3015600,46847,71202,PRL,52.79,-112.42,524732170,-1122520530,712,2007,2021,2008,2021,2007,2021,2007,2007
ST. LINA AGCM,ALBERTA,3015673,47127,71548,PSL,54.28,-111.45,541656001,-1112711005,619,2008,2021,2008,2021,2008,2021,,
ST. PAUL AGCM,ALBERTA,3015676,32457,71275,XSP,54.01,-111.27,540040000,-1111619000,649,2002,2021,2003,2021,2002,2021,2002,2007
SEDALIA AGCM,ALBERTA,3015797,46887,71399,PSA,51.59,-110.75,513525008,-1104517002,755,2007,2021,2008,2021,2007,2021,2007,2007
SHONTS AGCM,ALBERTA,3015900,46848,71405,PSH,53.33,-112.54,531957001,-1123222004,679,2007,2021,2008,2021,2007,2021,2007,2007
SMOKY LAKE AGDM,ALBERTA,3016022,32456,71274,XSL,54.28,-112.5,541639000,-1122957000,680,1990,2021,1990,2021,2002,2021,2002,2007
SPONDIN AGCM,ALBERTA,3016070,46913,71413,PSP,51.82,-111.68,514857009,-1114057004,804,2007,2021,2008,2021,2007,2021,2007,2007
STETTLER AGDM,ALBERTA,3016124,32458,71289,XAK,52.35,-112.6,522049000,-1123544000,795,2003,2021,2003,2021,2003,2021,2003,2007
THORSBY AGCM,ALBERTA,3016441,46850,71504,PTH,53.22,-113.89,531302007,-1135341005,754,2007,2021,2007,2021,2007,2021,2007,2007
TOMAHAWK AGDM,ALBERTA,3016505,43581,71566,NTK,53.44,-114.72,532622000,-1144306000,814,2004,2021,2004,2021,2005,2021,2005,2007
TULLIBY LAKE AGCM,ALBERTA,3016593,46851,71857,PTU,53.66,-110.08,533951009,-1100451005,596,2007,2021,2008,2021,2007,2021,2007,2007
UNCAS,ALBERTA,3016650,27018,,,53.5,-113.03,533000000,-1130200000,750,1995,2021,,,1995,2021,1995,2007
TWO HILLS AGDM,ALBERTA,3016655,32459,71276,XTH,53.63,-111.68,533731000,-1114042000,678,1999,2021,1999,2021,2003,2021,2003,2007
VERMILION AGDM,ALBERTA,3016802,32461,71278,XVM,53.34,-110.88,532037700,-1105254700,623,1995,2021,1995,2021,2002,2021,2002,2007
VIKING AGCM,ALBERTA,3016841,46852,71888,PVA,53.18,-111.73,531056000,-1114354001,711,2007,2021,2008,2021,2007,2021,2007,2007
VILNA AGCM,ALBERTA,3016852,47110,71761,PVI,54.13,-111.92,540748001,-1115517004,645,2008,2021,2008,2021,2008,2021,,
VIOLET GROVE CS,ALBERTA,3016860,30643,71062,XVG,53.14,-115.13,530837009,-1150735000,914,2000,2021,2000,2021,2000,2021,2000,2007
VEGREVILLE,ALBERTA,3016GF0,1977,71458,WVI,53.51,-112.1,533019003,-1120552004,639.3,1980,2021,1994,2021,1980,2021,1980,2007
WETASKIWIN AGCM,ALBERTA,3017282,46853,71895,PWT,52.98,-113.44,525849007,-1132639003,774,2007,2021,2008,2021,2007,2021,2007,2007
EDMONTON STONY PLAIN CS,ALBERTA,301A001,27492,71127,XPS,53.55,-114.11,533250080,-1140630070,766.3,1997,2021,2000,2021,1997,2021,1997,2007
ESTHER 1,ALBERTA,301B460,10225,71240,WGY,51.67,-110.21,514011070,-1101222090,707,1993,2021,1994,2021,1993,2021,1996,2007
WAINWRIGHT CFB AIRFIELD 21,ALBERTA,301S001,26888,71118,ZWN,52.83,-111.1,524946006,-1110544007,686.25,1995,2021,1995,2021,1995,2021,2003,2007
ACADIA VALLEY,ALBERTA,3020035,47748,71048,PAC,51.07,-110.32,510358090,-1101901090,735,2009,2021,2009,2021,2009,2021,,
ATLEE AGCM,ALBERTA,3020405,47787,71986,PAT,50.81,-111.01,504836070,-1110020030,795,2009,2021,2009,2021,2009,2021,,
BEISEKER AGCM,ALBERTA,3020610,46468,71009,PBE,51.38,-113.36,512243007,-1132126001,896,2007,2021,2007,2021,2007,2021,2007,2007
BIG VALLEY AGCM,ALBERTA,3020679,46469,71011,PBV,52,-112.8,515952006,-1124809006,870,2007,2021,2007,2021,2007,2021,,
CRAIGMYLE AGCM,ALBERTA,3021912,46471,71013,PCM,51.78,-112.25,514630001,-1121508004,845,2007,2021,2007,2021,2007,2021,2007,2007
DRUMHELLER EAST,ALBERTA,30221LG,10708,71237,WDZ,51.45,-112.68,512643000,-1124036000,678.2,1994,2021,1994,2021,1995,2021,1996,2007
HESPERO AGCM,ALBERTA,3023200,47076,71540,PHR,52.31,-114.49,521836008,-1142909002,965,2008,2021,2008,2021,2008,2021,,
HUSSAR AGDM,ALBERTA,3023402,31409,71344,XHR,51.18,-112.5,511100000,-1123000000,971.21,2001,2021,2002,2021,2001,2021,2001,2007
LACOMBE CDA 2,ALBERTA,3023722,10906,71242,WQQ,52.45,-113.76,522656006,-1134521005,860,1993,2021,1994,2021,1993,2021,1996,2007
LEEDALE AGDM,ALBERTA,3023740,43561,71565,NLD,52.55,-114.47,523311000,-1142821000,947,2004,2021,2004,2021,2005,2021,2005,2007
LINDEN AGCM,ALBERTA,3023850,46910,71035,PLA,51.62,-113.66,513708009,-1133920009,914,2007,2021,2008,2021,2007,2021,2007,2007
MORRIN AGDM,ALBERTA,3024668,32433,71257,XMO,51.66,-112.68,513937000,-1124030000,836,1991,2021,1991,2021,2002,2021,2002,2007
OLDS AGDM,ALBERTA,3024925,32453,71258,XOL,51.76,-114.08,514531000,-1140505000,1046,2002,2021,2002,2021,2002,2021,2002,2007
OYEN AGDM,ALBERTA,3024965,31410,71342,XOY,51.38,-110.35,512300000,-1102100000,766.67,2002,2021,2002,2021,2002,2021,2002,2007
POLLOCKVILLE AGDM,ALBERTA,3025243,32454,71259,XPL,51.13,-111.71,510731000,-1114219000,750,1999,2021,1999,2021,2002,2021,2002,2007
PRENTISS,ALBERTA,3025297,41784,71353,ZPS,52.43,-113.6,522600000,-1133600000,965,2003,2021,2003,2021,2003,2021,2003,2007
ST. ALBERT RESEARCH STATION,ALBERTA,3025750,49050,,PSR,53.69,-113.62,534131000,-1133711000,687,2010,2021,2010,2021,2018,2021,,
SCHULER AGDM,ALBERTA,3025768,32455,71269,XSC,50.31,-110.09,501825000,-1100526000,800,2001,2021,2001,2021,2002,2021,2002,2007
THREE HILLS,ALBERTA,3026479,10907,71249,WHI,51.77,-113.21,514603082,-1131220095,857,1993,2021,1994,2021,1993,2021,1996,2007
SUNDRE A,ALBERTA,3026KNQ,10105,71248,WAV,51.78,-114.68,514641000,-1144057000,1114.4,1993,2021,1994,2021,1993,2021,1995,2007
WIMBORNE AGCM,ALBERTA,3027582,46729,71904,PWB,51.94,-113.59,515609009,-1133527002,940,2007,2021,2008,2021,2007,2021,2007,2007
AZURE,ALBERTA,3030450,47727,71981,PAZ,50.51,-114.01,503043000,-1140047020,1143,2008,2021,2008,2021,2008,2021,,
BARNWELL AGDM,ALBERTA,3030525,31408,71346,XBW,49.8,-112.3,494800000,-1121800000,824.24,2001,2021,2001,2021,2002,2021,2002,2007
BARONS AGCM,ALBERTA,3030529,46447,71007,PBA,50.03,-113.22,500133008,-1131328009,967,2006,2021,2006,2021,2007,2021,2007,2007
BASSANO AGCM,ALBERTA,3030540,46467,71008,PBS,50.89,-112.47,505333005,-1122754009,807,2007,2021,2007,2021,2007,2021,2007,2007
BLACK DIAMOND,ALBERTA,3030680,47747,71982,PBD,50.71,-114.15,504224008,-1140906002,1156,2008,2021,2008,2021,2008,2021,,
BLOOD TRIBE AGDM,ALBERTA,3030720,42703,71517,PBT,49.57,-113.05,493400000,-1130300000,980,2004,2021,2004,2021,2004,2021,2004,2007
BOW ISLAND,ALBERTA,3030768,10915,71231,WXL,49.73,-111.45,494403070,-1112701000,816.6,1993,2021,1994,2021,1993,2021,1996,2007
BOW ISLAND IRRIGATION AGDM,ALBERTA,3030772,42723,71519,PXL,49.87,-111.37,495205052,-1112158068,796,2004,2021,2004,2021,2004,2021,2005,2006
BROCKET AGDM,ALBERTA,3030830,31407,71341,XBR,49.62,-113.82,493700000,-1134900000,1072.73,2001,2021,2002,2021,2001,2021,2002,2007
BROOKS,ALBERTA,3030QLP,2180,71457,WBO,50.56,-111.85,503319070,-1115056030,747,1988,2021,1994,2021,1988,2021,1988,2007
CALGARY INT'L CS,ALBERTA,3031094,27211,71393,PCI,51.11,-114,510634010,-1140001070,1081.9,1999,2021,2008,2021,1999,2021,2000,2007
CARDSTON,ALBERTA,3031322,26971,71153,WFJ,49.2,-113.29,491202070,-1131709020,1136,1994,2021,1994,2021,1994,2021,1996,2007
CHAMPION AGDM,ALBERTA,3031480,32254,71217,XCP,50.28,-113.35,501655001,-1132101000,1006,1992,2021,1992,2021,2002,2021,2002,2007
CLARESHOLM,ALBERTA,3031640,2224,71234,WDK,50,-113.64,500013070,-1133819090,1009,1951,2021,1994,2021,1951,2021,1951,2007
COP UPPER,ALBERTA,3031875,9010,71235,WDU,51.08,-114.22,510434020,-1141320090,1235,1993,2021,1994,2021,1993,2021,1996,2007
ENCHANT AGDM,ALBERTA,3032422,42724,71518,PEH,50.18,-112.43,501100000,-1122600000,801,2004,2021,2004,2021,2004,2021,2005,2007
ETZIKOM AGCM,ALBERTA,3032450,46732,71409,PET,49.55,-111.05,493310002,-1110315008,845,2007,2021,2008,2021,2007,2021,2007,2007
FINCASTLE AGDM,ALBERTA,3032550,42727,71535,PFI,49.8,-112.03,494800000,-1120200000,833,2004,2021,2004,2021,2004,2021,2004,2007
FOREMOST AGDM,ALBERTA,3032642,32257,71225,XFM,49.48,-111.49,492900001,-1112910000,881,1999,2021,1999,2021,2002,2021,2002,2007
FORT MACLEOD AGCM,ALBERTA,3032683,46734,71789,PFM,49.79,-113.38,494709000,-1132246009,978,2007,2021,2008,2021,2007,2021,2007,2007
GLEICHEN AGCM,ALBERTA,3032801,47073,71498,PGI,50.93,-112.94,505604004,-1125626009,907,2008,2021,2008,2021,2008,2021,,
GLENWOOD,ALBERTA,3032818,45748,71885,PCR,49.33,-113.52,492004000,-1133128000,1074,2006,2021,2006,2021,2007,2021,2007,2007
GRASSY LAKE,ALBERTA,3032927,45647,71788,PGL,49.87,-111.73,495225000,-1114358000,783,2006,2021,2006,2021,2007,2021,2007,2007
IRON SPRINGS AGDM,ALBERTA,3033498,42728,71528,PIR,49.9,-112.73,495400000,-1124400000,858,2004,2021,2004,2021,2004,2021,2004,2007
PRIDDIS OBSERVATORY,ALBERTA,3033505,48468,,PRD,50.87,-114.29,505209000,-1141730000,1267,2010,2021,2010,2021,2018,2021,,
IRVINE AGCM,ALBERTA,3033550,46807,71795,PIA,49.99,-110.26,495921008,-1101541007,795,2007,2021,2008,2021,2007,2021,2007,2007
LETHBRIDGE CDA,ALBERTA,3033890,2265,71243,WQL,49.7,-112.77,494142000,-1124603000,910,1908,2021,1994,2021,1908,2021,1908,2007
LETHBRIDGE CDA 2,ALBERTA,3033892,46867,,,49.7,-112.78,494200000,-1124700000,921.1,2004,2021,,,2004,2021,2007,2007
LETHBRIDGE DEMO FARM AGDM,ALBERTA,3033897,42726,71509,PQL,49.68,-112.75,494100000,-1124500000,903,2004,2021,2004,2021,2004,2021,2004,2007
MEDICINE HAT,ALBERTA,3034479,48949,71247,YXH,50.02,-110.72,500108000,-1104315000,716.9,2010,2021,2010,2021,2010,2021,,
MEDICINE HAT RCS,ALBERTA,3034485,30347,71026,XMW,50.03,-110.72,500130400,-1104302100,715,2000,2021,2001,2021,2000,2021,2000,2007
MOSSLEIGH AGCM,ALBERTA,3034577,46810,71057,PML,50.67,-113.35,504021005,-1132055005,965,2007,2021,2008,2021,2007,2021,2007,2007
NIER AGDM,ALBERTA,3034795,43580,71495,NNR,51.37,-114.1,512210000,-1140557000,1145,2005,2021,2005,2021,2005,2021,2005,2007
PINCHER CREEK CLIMATE,ALBERTA,3035208,27218,71736,PCK,49.52,-114,493118003,-1140017001,1190,1996,2021,2010,2021,1996,2021,1996,2007
QUEENSTOWN,ALBERTA,3035340,2295,,,50.61,-112.98,503623070,-1125900010,940,1961,2021,,,1961,2021,1961,2007
QUEENSTOWN,ALBERTA,3035342,47767,71073,PQU,50.6,-112.8,503552010,-1124812050,941,2009,2021,2009,2021,2009,2021,,
RAYMOND AGDM,ALBERTA,3035422,42729,71536,PRY,49.48,-112.68,492900000,-1124100000,937,2004,2021,2004,2021,2004,2021,2004,2007
ROLLING HILLS AGCM,ALBERTA,3035530,46827,71105,PRH,50.27,-111.7,501554007,-1114204000,645,2007,2021,2008,2021,2007,2021,2007,2007
ROSEMARY AGDM,ALBERTA,3035650,42731,71537,PRO,50.83,-112.05,505000000,-1120300000,714,2004,2021,2004,2021,2004,2021,2004,2007
SEVEN PERSONS AGDM,ALBERTA,3035845,42730,71525,PSV,49.92,-110.92,495500000,-1105500000,766,2004,2021,2004,2021,2004,2021,,
STANDARD AGCM,ALBERTA,3036086,46849,71440,PSD,51.23,-112.98,511342005,-1125855006,901,2007,2021,2008,2021,2007,2021,2007,2007
STAVELY AAFC,ALBERTA,3036099,27200,71555,WXN,50.18,-113.88,501100000,-1135300000,1363.6,1996,2021,1996,2021,1996,2021,1997,2007
STRATHMORE AGDM,ALBERTA,3036205,42725,71526,PST,51.03,-113.28,510200000,-1131700000,967,2004,2021,2004,2021,2004,2021,2004,2007
SUFFIELD A,ALBERTA,3036240,2312,71128,YSD,50.27,-111.18,501600000,-1111100000,769.6,1950,2020,1953,2020,1950,2008,1950,2007
TABER,ALBERTA,3036360,2315,,,49.79,-112.12,494731020,-1120728080,811,1907,2021,,,1907,2021,1907,2007
TRAVERS AGCM,ALBERTA,3036500,46914,71848,PTR,50.3,-112.86,501813008,-1125145007,955,2007,2021,2008,2021,2007,2021,2007,2007
VAUXHALL CDA CS,ALBERTA,3036682,10889,71251,WVO,50.05,-112.13,500300000,-1120800000,779,1993,2021,1994,2021,1993,2021,1996,2007
WRENTHAM AGDM,ALBERTA,3037675,31412,71343,XWM,49.5,-112.12,493000000,-1120700000,943.94,2002,2021,2002,2021,2002,2021,2002,2007
OKOTOKS,ALBERTA,303M9JM,2173,,,50.73,-113.96,504345010,-1135739090,1081,1990,2020,,,1990,2020,1990,2007
PICTURE BUTTE WEST,ALBERTA,303N1G3,2174,,,49.87,-112.79,495217090,-1124718010,901,1987,2021,,,1987,2021,1987,2007
DEL BONITA AGDM,ALBERTA,3042045,32256,71224,XDB,49.05,-112.82,490300000,-1124900000,1310,1992,2021,1992,2021,2002,2021,2002,2007
MANYBERRIES AGCM,ALBERTA,3044203,46809,71051,PMB,49.36,-110.68,492150000,-1104041005,927,2007,2021,2008,2021,2007,2021,2007,2007
MASINASIN AGDM,ALBERTA,3044232,31411,71345,XMN,49.14,-111.65,490812044,-1113906084,947.9,2002,2021,2002,2021,2002,2021,2002,2007
MILK RIVER,ALBERTA,3044533,8804,71244,WRY,49.13,-112.05,490800000,-1120300000,1050,1994,2021,1994,2021,1994,2021,1996,2007
MILK RIVER RIDGE RESERVOIR,ALBERTA,3044545,45767,71015,PRR,49.28,-112.54,491702000,-1123218000,1305,2007,2021,2007,2021,2007,2021,2007,2007
ONEFOUR CDA,ALBERTA,3044923,10725,71116,WOE,49.12,-110.47,490700000,-1102800000,935,1994,2021,1994,2021,1994,2021,1996,2007
PAKOWKI LAKE AGCM,ALBERTA,3045000,46912,71070,PPL,49.22,-111.13,491329006,-1110734006,915,2007,2021,2008,2021,2007,2021,2007,2007
BANFF CS,ALBERTA,3050519,27378,71122,WZG,51.19,-115.55,511136090,-1153308050,1396.9,1995,2021,1997,2021,1995,2021,1995,2007
BOW VALLEY,ALBERTA,3050778,10222,71232,WXA,51.08,-115.07,510500000,-1150400000,1297.5,1993,2021,1994,2021,1993,2021,1996,2007
BULLHORN COULEE RESERVOIR,ALBERTA,3050960,45747,71839,PBR,49.3,-113.36,491743000,-1132131000,1115,2006,2021,2006,2021,2007,2021,2007,2007
BULLHORN HEADWATERS,ALBERTA,3050965,45749,71016,PBH,49.15,-113.55,490909000,-1133302000,1326,2007,2021,2007,2021,2007,2021,2007,2007
CROWSNEST,ALBERTA,3051R4R,10890,71236,WRT,49.63,-114.48,493739090,-1142855020,1303,1993,2021,1994,2021,1993,2021,1996,2007
JASPER WARDEN,ALBERTA,3053536,10223,71486,WJW,52.93,-118.03,525535000,-1180147000,1020,1994,2021,1994,2021,1994,2021,1996,2007
KANANASKIS,ALBERTA,3053600,2402,,,51.03,-115.03,510139080,-1150205060,1391.1,1939,2021,,,1939,2021,1939,2007
NORDEGG CS,ALBERTA,3054843,30543,71060,XND,52.49,-116.04,522931090,-1160224000,1332,2000,2021,2001,2021,2000,2021,2000,2007
PEKISKO,ALBERTA,3055119,10665,71669,NPK,50.37,-114.42,502206007,-1142456001,1415,1998,2021,2005,2021,1998,2021,1998,2007
ST. MARY RESERVOIR,ALBERTA,3056100,45727,71837,PMR,49.36,-113.11,492141000,-1130636000,1128,2006,2021,2006,2021,2007,2021,2007,2007
WATERTON PARK GATE,ALBERTA,3056214,26850,71154,WGM,49.13,-113.81,490752080,-1134831010,1289,1994,2021,1994,2021,1994,2021,1996,2007
NAKISKA RIDGETOP,ALBERTA,305MGFF,10104,71245,WNR,50.94,-115.19,505633000,-1151125000,2543,1994,2021,1994,2021,1994,2021,1999,2006
ATHABASCA AGCM,ALBERTA,3060330,47047,71271,PAF,54.63,-113.38,543805003,-1132255008,635,2008,2021,2008,2021,2008,2021,,
ATMORE AGDM,ALBERTA,3060406,32231,71287,XAJ,54.78,-112.83,544654000,-1124930000,574,1992,2021,1992,2021,2002,2021,2003,2007
BARRHEAD CS,ALBERTA,3060535,30641,71061,XBD,54.09,-114.45,540541000,-1142651000,648,2000,2021,2000,2021,2000,2021,2001,2007
BRULE BLACK CAT,ALBERTA,3060903,2485,,,53.35,-117.87,532100000,-1175200000,1036.3,1985,2021,,,1985,2021,1985,2007
ATHABASCA 1,ALBERTA,3060L20,2459,,,54.72,-113.29,544320003,-1131717007,514.7,1986,2020,,,1986,2020,1986,2007
DAPP AGDM,ALBERTA,3061975,31414,71340,XDP,54.32,-113.95,541900000,-1135700000,614.2,1990,2021,1990,2021,2001,2021,2001,2007
EDSON,ALBERTA,3062239,48948,71167,YET,53.58,-116.47,533444000,-1162754000,926.9,2010,2021,2010,2021,2010,2021,,
EDSON CLIMATE,ALBERTA,3062246,27213,71156,ZZJ,53.58,-116.45,533449007,-1162712007,927,1996,2021,1996,2021,1996,2021,1996,2007
ENTWISTLE,ALBERTA,3062451,2513,,,53.6,-114.98,533600000,-1145900000,780.3,1987,2021,,,1987,2021,1987,2007
FORT ASSINIBOINE AGCM,ALBERTA,3062660,47128,71483,PFB,54.41,-114.77,542437005,-1144609005,676,2008,2021,2008,2021,2008,2021,,
FORT MCMURRAY CS,ALBERTA,3062696,27216,71585,XMM,56.65,-111.21,563904000,-1111248000,368.8,1996,2021,1999,2021,1996,2021,1996,2007
HENDRICKSON CREEK,ALBERTA,3063135,26870,71979,WPA,53.8,-118.45,534742001,-1182648005,1448,1995,2021,1995,2021,1995,2021,1998,2007
HIGH PRAIRIE AGDM,ALBERTA,3063165,32274,71226,XHP,55.4,-116.48,552345001,-1162846008,601.7,2002,2021,2002,2021,2002,2021,2002,2007
LAC LA BICHE CLIMATE,ALBERTA,3063686,30726,71316,WLB,54.77,-112.02,544608000,-1120125000,567,2001,2021,2003,2021,2001,2021,2001,2007
MILDRED LAKE,ALBERTA,3064528,10978,71255,WMX,57.04,-111.56,570228000,-1113332000,310,1993,2021,1994,2021,1993,2021,1994,2007
RICH LAKE AGDM,ALBERTA,3065475,31413,71349,XRL,54.5,-111.7,543000000,-1114200000,585,1997,2021,1997,2021,2001,2021,2001,2007
TAWATINAW AGCM,ALBERTA,3066367,47108,71549,PTA,54.3,-113.52,541759009,-1133113001,611,2008,2021,2008,2021,2008,2021,,
WILLOW CREEK 1,ALBERTA,306GE70,10930,71252,WWO,53.39,-118.35,532308000,-1182051000,1370,1993,2021,1994,2021,1993,2021,1996,2007
BALLATER AGCM,ALBERTA,3070495,49048,,PBC,55.58,-117.24,553437000,-1171408000,560,2010,2021,2010,2021,2018,2021,,
BEAVERLODGE RCS,ALBERTA,3070600,30669,71230,WBM,55.2,-119.4,551148002,-1192347090,745,2001,2021,2001,2021,2001,2021,2001,2007
BROWNVALE AGCM,ALBERTA,3070800,47067,71283,PBN,56.12,-117.89,560704000,-1175311008,748,2008,2021,2008,2021,2008,2021,,
EAGLESHAM AGCM,ALBERTA,3072151,47071,71461,PEL,55.81,-117.89,554829002,-1175312000,563,2008,2021,2008,2021,2008,2021,,
EGG ISLAND,ALBERTA,3072246,31027,71404,XEL,58.98,-110.44,585853070,-1102622062,214.9,1993,2021,1993,2021,2001,2021,2005,2007
FAIRVIEW AGDM,ALBERTA,3072525,31469,71347,XFR,56.08,-118.44,560453006,-1182622005,654.55,1997,2021,1997,2021,2002,2021,2002,2007
FORT VERMILION,ALBERTA,3072723,30495,71024,XFV,58.38,-116.04,582256300,-1160224600,289,2000,2021,2000,2021,2000,2021,2000,2007
HAWK HILLS AGCM,ALBERTA,3073071,47075,71507,PHW,57.26,-117.3,571553001,-1171751009,455,2008,2021,2008,2021,2008,2021,,
HIGH LEVEL A,ALBERTA,3073146,2726,,YOJ,58.62,-117.16,583717000,-1170953000,338.02,1970,2020,1970,2012,1970,2020,1970,2007
JEAN COTE AGCM,ALBERTA,3073535,47077,71541,PJT,55.91,-117.12,555446006,-1170711006,638,2008,2021,2008,2021,2008,2021,,
LA CRETE AGCM,ALBERTA,3073730,47147,71542,PLC,58.17,-116.34,581019008,-1162034002,323,2008,2021,2008,2021,2008,2021,,
LA GLACE AGCM,ALBERTA,3073740,47087,71543,PLG,55.42,-119.25,552519001,-1191517002,760,2008,2021,2008,2021,2008,2021,,
MANNING AGDM,ALBERTA,3074190,32394,71229,XMG,56.97,-117.45,565826000,-1172703002,457,2002,2021,2002,2021,2002,2021,2002,2007
CLEARDALE AGDM,ALBERTA,3074935,32255,71221,XCD,56.31,-119.75,561852009,-1194442000,630,1990,2021,1990,2021,2003,2021,2003,2007
PEORIA AGDM,ALBERTA,3075160,31468,71348,XPA,55.62,-118.29,553716005,-1181735001,621.21,1994,2021,1994,2021,2002,2021,2002,2007
RED EARTH,ALBERTA,3075488,10183,71246,WRD,56.55,-115.28,563307070,-1151640040,546,1994,2021,1994,2021,1994,2021,1996,2007
RYCROFT AGCM,ALBERTA,3075601,47090,71546,PRF,55.78,-118.67,554636005,-1184005003,575,2008,2021,2008,2021,2008,2021,,
SAVANNA AGCM,ALBERTA,3075770,47107,71547,PSW,56.08,-119.34,560434002,-1192041008,703,2008,2021,2008,2021,2008,2021,,
SIMONETTE,ALBERTA,3075937,2793,,,54.42,-117.74,542529008,-1174428003,883.9,1973,2021,,,1973,2021,1973,2007
TEEPEE CREEK AGCM,ALBERTA,3076366,47109,71690,PTC,55.35,-118.41,552108007,-1182427004,670,2008,2021,2008,2021,2008,2021,,
VALLEYVIEW AGDM,ALBERTA,3076680,32460,71277,XVW,55.1,-117.2,550553000,-1171157000,698,1998,2021,1998,2021,2002,2021,2002,2007
GARDEN RIVER,ALBERTA,307KPFP,10932,71253,WGF,58.71,-113.87,584239000,-1135159300,240.8,1993,2020,1994,2020,1993,2020,1996,2007
COLD LAKE A,ALBERTA,3081680,2832,71120,YOD,54.42,-110.28,542500000,-1101700000,541,1952,2021,1954,2021,1952,2021,1953,2017
DUPRE AGCM,ALBERTA,3081690,47070,71414,PDU,54.37,-110.87,542201004,-1105204003,556,2008,2021,2008,2021,2008,2021,,
BRATT'S LAKE CLIMATE,SASKATCHEWAN,4010811,44543,71569,XBK,50.2,-104.71,501202001,-1044236000,580,2005,2021,2006,2021,2005,2021,2006,2007
BROADVIEW,SASKATCHEWAN,4010879,2855,71861,WIK,50.37,-102.57,502205000,-1023415000,599.8,1965,2021,1965,2021,1965,2021,1965,2007
BUFFALO POUND LAKE,SASKATCHEWAN,4010984,2859,,,50.55,-105.38,503300000,-1052300000,588,1965,2021,,,1965,2021,1965,2007
DUVAL,SASKATCHEWAN,4012300,2890,,,51.18,-104.87,511100000,-1045200000,584,1957,2021,,,1957,2021,1957,2007
INDIAN HEAD CDA,SASKATCHEWAN,4013480,2925,71515,WBD,50.55,-103.65,503300000,-1033900000,579.1,1885,2021,1995,2021,1885,2021,1885,2007
KELLIHER,SASKATCHEWAN,4013660,2930,,,51.26,-103.75,511526700,-1034510900,675.6,1951,2021,,,1951,2021,1951,2007
KIPLING,SASKATCHEWAN,4014040,2933,,,50.2,-102.73,501200000,-1024400000,671.2,1949,2021,,,1949,2021,1949,2007
LANGENBURG,SASKATCHEWAN,4014145,2941,,,50.9,-101.72,505400000,-1014300000,516.6,1959,2020,,,1959,2020,1959,2007
LAST MOUNTAIN CS,SASKATCHEWAN,4014156,2942,71556,WXG,51.42,-105.25,512500000,-1051500000,497,1975,2021,1996,2021,1975,2021,1975,2007
LEROY,SASKATCHEWAN,4014322,2947,,,52,-104.63,520000000,-1043800000,535.4,1980,2021,,,1980,2021,1980,2007
LIPTON 2,SASKATCHEWAN,4014481,2951,,,51.15,-103.89,510908008,-1035322001,640,1979,2021,,,1979,2021,1979,2007
MOOSE JAW A,SASKATCHEWAN,4015320,2967,71864,YMJ,50.33,-105.57,502000000,-1053400000,576.7,1943,2021,1954,2021,1943,1999,1943,1998
MOOSE JAW CS,SASKATCHEWAN,4015322,27476,71539,ZMJ,50.33,-105.54,501954050,-1053215030,577,1997,2021,1997,2021,1998,2021,1998,2007
MUENSTER,SASKATCHEWAN,4015440,2973,,,52.33,-105,522000000,-1050000000,580,1904,2021,,,1904,2021,1904,2007
OXBOW,SASKATCHEWAN,4015800,2981,,,49.32,-102.12,491900000,-1020700000,576,1949,2021,,,1949,2021,1949,2007
PARKERVIEW,SASKATCHEWAN,4015870,2984,,,51.4,-103.27,512411700,-1031555100,637,1979,2021,,,1979,2021,1979,2007
QU'APPELLE 1,SASKATCHEWAN,4016322,2992,,,50.57,-103.98,503400000,-1035900000,662.9,1962,2021,,,1962,2021,1962,2007
REGINA RCS,SASKATCHEWAN,4016699,28011,71514,WDJ,50.43,-104.67,502600000,-1044000000,577.3,1996,2021,1996,2021,1999,2021,1999,2007
WATROUS EAST,SASKATCHEWAN,4018642,10785,71511,WIW,51.67,-105.4,514000000,-1052400000,525.6,1992,2021,1994,2021,1992,2021,1996,2007
WYNYARD (AUT),SASKATCHEWAN,40190LN,10660,71865,WOY,51.77,-104.2,514600000,-1041200000,560.1,1992,2021,1994,2021,1992,2021,1999,2007
WEYBURN,SASKATCHEWAN,401HP5R,10666,71452,WWF,49.7,-103.8,494200000,-1034800000,588.6,1992,2021,1994,2021,1992,2021,1996,2007
CUTBANK,SASKATCHEWAN,401JR89,9819,,,51.29,-106.85,511722000,-1065054002,574.8,2008,2020,,,2008,2020,,
ASSINIBOIA AIRPORT,SASKATCHEWAN,4020286,10805,71487,WJI,49.73,-105.95,494345090,-1055646010,725.5,1992,2021,1994,2021,1992,2021,1996,2007
BEECHY,SASKATCHEWAN,4020560,3071,,,50.83,-107.31,504955060,-1071841030,659.9,1926,2021,,,1926,2021,1926,2007
